公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收,年月,上市別
1440,南紡,-,-3.4,1781769,27.09,1354218,1721188,27.09,1354218,1721188,110/01,TSE
1441,大東,-,38.65,109749,6.78,142499,152172,6.78,142499,152172,110/01,TSE
1444,力麗,-,-7.53,811117,0.67,744969,749992,0.67,744969,749992,110/01,TSE
1445,大宇,-,-19.62,97272,-20.55,98410,78183,-20.55,98410,78183,110/01,TSE
1446,宏和,-,-1.33,30113,-14.16,34612,29710,-14.16,34612,29710,110/01,TSE
1447,力鵬,因新增子公司貿易營收,18.53,1437353,93.62,879978,1703830,93.62,879978,1703830,110/01,TSE
1449,佳和,-,-14.4,163037,25.01,111626,139548,25.01,111626,139548,110/01,TSE
1451,年興,-,-21.98,695510,-15.82,644616,542580,-15.82,644616,542580,110/01,TSE
1452,宏益,-,-6.95,183208,48.9,114486,170473,48.9,114486,170473,110/01,TSE
1454,台富,-,-7.58,130643,1.78,118611,120729,1.78,118611,120729,110/01,TSE
1455,集盛,-,-0.88,836143,21.93,679676,828749,21.93,679676,828749,110/01,TSE
1457,宜進,-,1.28,313004,6.99,296309,317026,6.99,296309,317026,110/01,TSE
1459,聯發,109年適逢過年，實際銷售天數23天，致本期營業收入淨額較去年同期增加。,-0.75,237455,64.09,143616,235665,64.09,143616,235665,110/01,TSE
1460,宏遠,-,5.08,753725,24.89,634183,792034,24.89,634183,792034,110/01,TSE
1463,強盛,-,13.5,32329,6.47,34463,36696,6.47,34463,36696,110/01,TSE
1464,得力,-,-13.71,1006364,-1.44,881034,868295,-1.44,881034,868295,110/01,TSE
1465,偉全,-,-38.07,43701,-23.69,35466,27063,-23.69,35466,27063,110/01,TSE
1466,聚隆,-,-21.13,315137,9.14,227705,248522,9.14,227705,248522,110/01,TSE
1467,南緯,-,-34.62,711037,5.17,441942,464808,5.17,441942,464808,110/01,TSE
1468,昶和,去年因春節假日故工作天數減少比較基期數據偏低所致。,22.5,100442,61.57,76156,123050,61.57,76156,123050,110/01,TSE
1470,大統新創,-,0.43,64923,21.5,53667,65206,21.5,53667,65206,110/01,TSE
1472,三洋實業,-,21.49,21894,-9.33,29339,26601,-9.33,29339,26601,110/01,TSE
1473,台南,-,23.05,497702,-24.06,806567,612453,-24.06,806567,612453,110/01,TSE
1474,弘裕,為去(109)年1月適逢農曆春節假期致工作天數減少，比較基期數據偏低所致,-1.49,277543,58.04,172985,273395,58.04,172985,273395,110/01,TSE
1475,業旺,主要開始銷售染劑產品,-77.15,45360,232.4,3117,10361,232.4,3117,10361,110/01,TSE
1476,儒鴻,-,-24.82,3702424,20.95,2300958,2783179,20.95,2300958,2783179,110/01,TSE
1477,聚陽,-,10.43,2156588,13.81,2092533,2381607,13.81,2092533,2381607,110/01,TSE
4414,如興,-,6.21,1152030,-7.85,1327928,1223675,-7.85,1327928,1223675,110/01,TSE
4426,利勤,-,-17.98,103931,-32.76,126774,85240,-32.76,126774,85240,110/01,TSE
4438,廣越,-,17.29,511643,-17.5,727482,600145,-17.5,727482,600145,110/01,TSE
4440,宜新實業,-,-0.83,132252,9.9,119335,131153,9.9,119335,131153,110/01,TSE
1503,士電,-,-8.25,3063805,12.9,2489575,2810779,12.9,2489575,2810779,110/01,TSE
1504,東元,-,-19.07,4868158,3.69,3799231,3939500,3.69,3799231,3939500,110/01,TSE
1506,正道,-,28.25,67736,3.25,84135,86872,3.25,84135,86872,110/01,TSE
1513,中興電,-,-52.93,3196653,48.61,1012380,1504562,48.61,1012380,1504562,110/01,TSE
1514,亞力,-,-29.47,567071,4.01,384478,399915,4.01,384478,399915,110/01,TSE
1515,力山,客戶銷售狀況好增加採購量,-5.44,1671850,214.12,503251,1580814,214.12,503251,1580814,110/01,TSE
1517,利奇,"主係自行車零組件受惠全球自行車零售巿場持續熱銷,造就本公司集團出貨量及金額大增。",-13.72,411896,77.87,199773,355350,77.87,199773,355350,110/01,TSE
1519,華城,-,-65.15,1346437,-36.23,735811,469183,-36.23,735811,469183,110/01,TSE
1526,日馳,因市場需求增加，致本月營收優於去年同期。,-13.68,131704,53.41,74103,113686,53.41,74103,113686,110/01,TSE
1527,鑽全,-,-14.75,403633,25.41,274371,344093,25.41,274371,344093,110/01,TSE
1528,恩德,-,-32.48,320896,-6.28,231176,216644,-6.28,231176,216644,110/01,TSE
1529,樂事綠能,本期因無太陽能工程案營收致營收驟減,-65.94,16429,-91.85,68676,5595,-91.85,68676,5595,110/01,TSE
1530,亞崴,-,-18.12,305397,39.83,178804,250039,39.83,178804,250039,110/01,TSE
1531,高林股,因去年年假在1月，上班天數少影響出貨所致。,37.57,176732,114.71,113241,243146,114.71,113241,243146,110/01,TSE
1532,勤美,-,-45.11,2122105,37.54,846719,1164624,37.54,846719,1164624,110/01,TSE
1535,中宇,-,-22.85,846577,15.36,566085,653089,15.36,566085,653089,110/01,TSE
1537,廣隆,-,-9.14,677979,18.57,519466,615961,18.57,519466,615961,110/01,TSE
1538,正峰,-,-32.47,25358,-27.02,23464,17124,-27.02,23464,17124,110/01,TSE
1539,巨庭,-,-11.54,236566,27.41,164226,209247,27.41,164226,209247,110/01,TSE
1540,喬福,-,-14.45,52907,12.59,40196,45257,12.59,40196,45257,110/01,TSE
1541,錩泰,-,-10.9,548903,17.73,415373,489059,17.73,415373,489059,110/01,TSE
1558,伸興,"本月增加百分比達50%以上,係因歐美縫紉機需求增加",75.25,559730,190.65,337493,980933,190.65,337493,980933,110/01,TSE
1560,中砂,-,0.79,469077,19.61,395279,472827,19.61,395279,472827,110/01,TSE
1583,程泰,-,-5.45,516599,46.15,334189,488443,46.15,334189,488443,110/01,TSE
1597,直得,市場需求增加,3.01,131541,66.04,81609,135504,66.04,81609,135504,110/01,TSE
2049,上銀,主係美中貿易戰及新冠肺炎影響趨緩，市場需求逐漸恢復正常所致。,-7.47,2124419,89.14,1039231,1965642,89.14,1039231,1965642,110/01,TSE
2371,大同,-,-3.13,2529089,-2.6,2515305,2449678,-2.6,2515305,2449678,110/01,TSE
3167,大量,市場設備需求逐漸復甦所致,2.61,323309,188.89,114835,331751,188.89,114835,331751,110/01,TSE
4526,東台,-,-31.49,855144,-3.1,604580,585796,-3.1,604580,585796,110/01,TSE
4532,瑞智,-,-4.32,1977380,22.4,1545582,1891854,22.4,1545582,1891854,110/01,TSE
4540,全球傳動,-,-47.6,269869,47.58,95811,141398,47.58,95811,141398,110/01,TSE
4555,氣立,1.去年適逢農曆年，工作天期較少，基值較低 2.因應客戶農曆年前的提升備貨量及市場需求，致營收較去年成長80.56%,12.02,136274,80.55,84552,152664,80.55,84552,152664,110/01,TSE
4562,穎漢,-,5.87,59710,15.95,54517,63215,15.95,54517,63215,110/01,TSE
4564,元翎,本月及本年營收較去年同期增加，主要係因高壓充氣鋼瓶出貨量增加及去年同期適逢農曆春節假期營業天數較少所致。,1.61,203153,75.46,117656,206442,75.46,117656,206442,110/01,TSE
4566,時碩工業,-,46.94,307810,39.12,325119,452308,39.12,325119,452308,110/01,TSE
4572,駐龍,-,15.96,18127,-47.59,40109,21021,-47.59,40109,21021,110/01,TSE
4576,大銀微系統,去年一月適逢農曆春節假期，致營收較去年同期成長65.51%。,-8.78,233960,65.5,128944,213411,65.5,128944,213411,110/01,TSE
4583,台灣精銳,-,-19.54,294814,3.85,228384,237182,3.85,228384,237182,110/01,TSE
8222,寶一,因疫情影響,55.68,13103,-63.99,56655,20399,-63.99,56655,20399,110/01,TSE
8374,羅昇,主要係因109年1月適逢農曆春節營業天數較少，致營收增加百分比大於50%以上,19.14,280843,91.6,174636,334614,91.6,174636,334614,110/01,TSE
8996,高力,-,-34.15,258254,27.26,133622,170058,27.26,133622,170058,110/01,TSE
1603,華電,-,36.21,194902,34.69,197104,265490,34.69,197104,265490,110/01,TSE
1604,聲寶,-,36.95,618176,16.8,724844,846631,16.8,724844,846631,110/01,TSE
1605,華新,-,-13.91,11826620,26.26,8063234,10181000,26.26,8063234,10181000,110/01,TSE
1608,華榮,-,1.67,660258,23.65,542860,671293,23.65,542860,671293,110/01,TSE
1609,大亞,因本期銅價較去年同期漲幅逾12% ，且去年1月適逢春節假期，較去年同期工作天數較多所致。,3.9,2055603,77.41,1203912,2135936,77.41,1203912,2135936,110/01,TSE
1611,中電,-,5.59,173175,5.81,172810,182866,5.81,172810,182866,110/01,TSE
1612,宏泰,-,15.44,372804,49.52,287849,430393,49.52,287849,430393,110/01,TSE
1614,三洋電,-,21.8,392759,7.93,443227,478400,7.93,443227,478400,110/01,TSE
1615,大山,-,-26.85,357448,48.86,175644,261465,48.86,175644,261465,110/01,TSE
1616,億泰,-,-29.78,286586,16.71,172405,201227,16.71,172405,201227,110/01,TSE
1617,榮星,因本期銅價較去年同期上漲，且去年1月適逢春節假期，而本期工作天數較多所致。,11.11,335579,90.18,196052,372868,90.18,196052,372868,110/01,TSE
1618,合機,"110年1月業主通知交貨較多,致高壓線及光放管等出貨量較去年同期增加",74.02,147928,185.17,90271,257430,185.17,90271,257430,110/01,TSE
4930,燦星網,"109/3/27董事會決議處分燦星國旅全數持股，109年第一季起將該公司轉列停業單位，合併營收109年1月累積扣除61,204仟元。",14.62,876251,46.22,686914,1004435,46.22,686914,1004435,110/01,TSE
5283,禾聯碩,-,8.37,434051,36.19,345388,470400,36.19,345388,470400,110/01,TSE
1708,東鹼,-,-14.13,338602,-16.76,349300,290746,-16.76,349300,290746,110/01,TSE
1709,和益,-,22.87,661970,5.45,771316,813366,5.45,771316,813366,110/01,TSE
1710,東聯,無,18.24,1700879,44.54,1391398,2011182,44.54,1391398,2011182,110/01,TSE
1711,永光,-,4.35,789367,24.48,661699,823732,24.48,661699,823732,110/01,TSE
1712,興農,-,17.87,1346687,3.86,1528330,1587445,3.86,1528330,1587445,110/01,TSE
1713,國化,-,-14.52,55557,29.01,36808,47489,29.01,36808,47489,110/01,TSE
1714,和桐,-,-6.0,1915455,-0.82,1815402,1800434,-0.82,1815402,1800434,110/01,TSE
1717,長興,109年1月份有農曆春節假期，又月底大陸地區因COVID-19限制復工；110年1月營運天數相較109年同比增加。,0.53,4094184,75.88,2340333,4116280,75.88,2340333,4116280,110/01,TSE
1718,中纖,本月份自結異業別合併營收資訊，未經會計師簽證或核閱,-2.67,2391658,-13.11,2679023,2327601,-13.11,2679023,2327601,110/01,TSE
1721,三晃,-,32.82,201656,6.47,251563,267847,6.47,251563,267847,110/01,TSE
1722,台肥,-,52.48,693838,10.28,959280,1057966,10.28,959280,1057966,110/01,TSE
1723,中碳,-,-9.34,503615,-17.61,554160,456534,-17.61,554160,456534,110/01,TSE
1725,元禎,-,-6.62,841682,26.8,619818,785959,26.8,619818,785959,110/01,TSE
1726,永記,-,-0.81,792970,20.17,654464,786523,20.17,654464,786523,110/01,TSE
1727,中華化,-,8.03,144827,-3.21,161650,156461,-3.21,161650,156461,110/01,TSE
1730,花仙子,-,100.56,234003,48.99,314995,469327,48.99,314995,469327,110/01,TSE
1732,毛寶,-,3.24,62685,31.58,49183,64719,31.58,49183,64719,110/01,TSE
1735,日勝化,去年農曆新年在1月，今年在2月,-16.45,266860,62.84,136916,222960,62.84,136916,222960,110/01,TSE
1773,勝一,-,4.42,727875,27.17,597684,760089,27.17,597684,760089,110/01,TSE
1776,展宇,-,-13.97,150568,14.45,113169,129522,14.45,113169,129522,110/01,TSE
3708,上緯投控,客戶訂單增加，帶動我司營收成長,15.39,943406,193.74,370619,1088688,193.74,370619,1088688,110/01,TSE
4720,德淵,"營收金額較去年同期增加152,129仟元、比例增加83.87%，主要係因客戶春節前備貨及大陸市場持續回溫所致。",0.2,332814,83.87,181383,333512,83.87,181383,333512,110/01,TSE
4722,國精化,本月及本年增減百分比達50%以上:主要來自農曆春節假期月份差異及大陸營收增加所致.,1.23,413563,67.81,249488,418667,67.81,249488,418667,110/01,TSE
4739,康普,-,14.92,478022,4.78,524279,549362,4.78,524279,549362,110/01,TSE
4755,三福化,-,2.21,319088,13.6,287088,326140,13.6,287088,326140,110/01,TSE
4764,雙鍵,本期因市場回溫及客戶備貨需求提升，故營收較去年同期成長。,0.79,308985,57.26,198045,311456,57.26,198045,311456,110/01,TSE
4766,南寶,-,7.9,1515022,40.12,1166696,1634821,40.12,1166696,1634821,110/01,TSE
4770,上品,較去年同期增加，主係本期對銷貨客戶之設備出貨增加所致,-11.07,274669,135.01,103930,244251,135.01,103930,244251,110/01,TSE
1598,岱宇,各品牌產品與電商通路銷售持續暢旺,-33.01,2005978,209.29,434445,1343735,209.29,434445,1343735,110/01,TSE
1701,中化,-,17.26,736343,17.11,737281,863490,17.11,737281,863490,110/01,TSE
1707,葡萄王,-,-43.22,1046553,3.38,574728,594187,3.38,574728,594187,110/01,TSE
1720,生達,-,-4.73,412784,24.88,314869,393236,24.88,314869,393236,110/01,TSE
1731,美吾華,新產品推出~電商和實體通路需求強勁，業績較去年同期成長17.45%。,38.72,91277,17.45,107813,126627,17.45,107813,126627,110/01,TSE
1733,五鼎,-,27.13,150304,32.33,144401,191093,32.33,144401,191093,110/01,TSE
1734,杏輝,-,26.91,174029,36.47,161834,220867,36.47,161834,220867,110/01,TSE
1736,喬山,"居家健身風潮興起, 家用健身器材銷售大幅成長",-36.61,3936987,54.58,1614326,2495565,54.58,1614326,2495565,110/01,TSE
1752,南光,-,-18.99,176887,10.67,129465,143279,10.67,129465,143279,110/01,TSE
1760,寶齡富錦,-,-45.11,172114,18.07,80004,94467,18.07,80004,94467,110/01,TSE
1762,中化生,-,12.52,146960,21.19,136448,165372,21.19,136448,165372,110/01,TSE
1783,和康生,-,-61.75,63858,3.59,23576,24423,3.59,23576,24423,110/01,TSE
1786,科妍,-,-38.91,50453,-22.96,40009,30819,-22.96,40009,30819,110/01,TSE
1789,神隆,-,-37.22,322402,27.4,158856,202389,27.4,158856,202389,110/01,TSE
1795,美時,因去年第二季起新增東南亞市場業務、且旗下外銷戒癮含片之美國終端市場份額較去年同期大幅增加,19.47,1011132,62.05,745428,1208009,62.05,745428,1208009,110/01,TSE
3164,景岳,本月營收增加係國外客戶年假前提前備貨，出貨增加。,38.38,26445,69.0,21655,36597,69.0,21655,36597,110/01,TSE
3705,永信,-,-12.19,836655,4.79,700996,734637,4.79,700996,734637,110/01,TSE
4104,佳醫,-,1.82,542971,-0.83,557524,552882,-0.83,557524,552882,110/01,TSE
4106,雃博,-,-10.33,200738,42.25,126523,179988,42.25,126523,179988,110/01,TSE
4108,懷特,「癌因性疲憊症CRF」的處方新藥需求增強，故本月業績較去年同期成長。,-52.05,15838,125.2,3372,7594,125.2,3372,7594,110/01,TSE
4119,旭富,因火災影響產線，目前產能為0,61.87,78498,-58.11,303367,127066,-58.11,303367,127066,110/01,TSE
4133,亞諾法,-,28.55,34254,31.06,33596,44034,31.06,33596,44034,110/01,TSE
4142,國光生,營收減少主因為國內四價流感疫苗提前於109年第四季出貨完畢所致。,-99.35,127434,-99.77,357241,821,-99.77,357241,821,110/01,TSE
4155,訊映,-,-19.79,126795,-31.1,147616,101700,-31.1,147616,101700,110/01,TSE
4164,承業醫,-,-18.04,226715,47.94,125594,185814,47.94,125594,185814,110/01,TSE
4737,華廣,110年1月營收較去年同期增加130.28%，主係因主要客戶受疫情影響，原應去年12月下單出貨 ，延後至今年1月所致。,-27.39,290319,130.27,91540,210797,130.27,91540,210797,110/01,TSE
4746,台耀,-,-28.2,333189,33.56,179111,239225,33.56,179111,239225,110/01,TSE
6491,晶碩,因代工訂單增加，故業績提升,-10.06,458286,65.22,249453,412169,65.22,249453,412169,110/01,TSE
6796,晉弘,-,-49.15,59112,15.56,26006,30054,15.56,26006,30054,110/01,TSE
1802,台玻,本年當月比去年同期增加50%以上係因去年1月春節，客戶用量減少所致,-15.88,4751198,71.6,2328821,3996314,71.6,2328821,3996314,110/01,TSE
1806,冠軍,因大陸營運模式改變主要的銷售主體已非合併個體，使得合併子公司的業績下降所致。,-6.19,263730,19.58,206872,247388,19.58,206872,247388,110/01,TSE
1809,中釉,-,6.66,205968,18.0,186180,219701,18.0,186180,219701,110/01,TSE
1810,和成,-,-6.8,446003,25.61,330885,415635,25.61,330885,415635,110/01,TSE
1817,凱撒衛,本月增減百分比達50%以上係因兩年度農曆春節月份差異所致。,-3.64,232162,61.51,138504,223703,61.51,138504,223703,110/01,TSE
1903,士紙,-,25.4,13938,46.57,11925,17479,46.57,11925,17479,110/01,TSE
1904,正隆,-,-19.61,4292951,24.6,2769466,3450873,24.6,2769466,3450873,110/01,TSE
1905,華紙,-,-2.16,1815317,30.65,1359253,1775959,30.65,1359253,1775959,110/01,TSE
1906,寶隆,代理銷售工業用紙之噸數減少,-63.11,71116,-70.58,89196,26234,-70.58,89196,26234,110/01,TSE
1907,永豐餘,因各事業部需求穩健，銷售量增加，加上109年農曆春節為1月，今年1月營業天數較長，因此110年1月營業收入較去年同期成長。,3.33,7475081,55.06,4981539,7724639,55.06,4981539,7724639,110/01,TSE
1909,榮成,主係109年1月適逢農曆春節，工作天數較少，使110年1月營業收入較去年同期大幅成長。,5.1,4420225,52.33,3049782,4645758,52.33,3049782,4645758,110/01,TSE
6790,永豐實,-,6.85,931782,27.71,779613,995646,27.71,779613,995646,110/01,TSE
2002,中鋼,-,0.68,30607760,27.86,24103044,30818388,27.86,24103044,30818388,110/01,TSE
2006,東和鋼鐵,本公司本月營收主係受工作日較長影響，故銷售數量較去年同期增加及子公司營收持續穩定成長所致。,-4.29,4913283,72.56,2724791,4702050,72.56,2724791,4702050,110/01,TSE
2007,燁興,-,11.59,510572,25.4,454337,569769,25.4,454337,569769,110/01,TSE
2008,高興昌,-,-9.47,110358,34.03,74539,99906,34.03,74539,99906,110/01,TSE
2009,第一銅,主係因半導體與汽車產業需求增加致出貨量增加及國際銅價上漲,5.16,234170,62.43,151605,246267,62.43,151605,246267,110/01,TSE
2010,春源,-,2.39,1867456,46.87,1301856,1912136,46.87,1301856,1912136,110/01,TSE
2012,春雨,-,-0.66,846245,33.66,628893,840622,33.66,628893,840622,110/01,TSE
2013,中鋼構,-,-1.19,1244946,27.37,965765,1230121,27.37,965765,1230121,110/01,TSE
2014,中鴻,-,1.32,3268303,-4.67,3474214,3311675,-4.67,3474214,3311675,110/01,TSE
2015,豐興,主係109年1月適逢農曆春節，工作天數較少，使110年1月營業收入較去年同期大幅成長。,-1.5,2791614,75.05,1570644,2749552,75.05,1570644,2749552,110/01,TSE
2017,官田鋼,鋼市行情上漲，價格提高,-6.88,365613,50.83,225708,340450,50.83,225708,340450,110/01,TSE
2020,美亞,-,-0.41,489511,44.46,337448,487487,44.46,337448,487487,110/01,TSE
2022,聚亨,-,79.99,608070,26.93,862248,1094501,26.93,862248,1094501,110/01,TSE
2023,燁輝,110年1月銷售量及售價皆明顯較去年同期提升所致,17.01,5320805,66.41,3741294,6226039,66.41,3741294,6226039,110/01,TSE
2024,志聯,"去年因役情關係,適逢春節致營收下降,本年因國際鋼價回升且市場需求增加所致",3.33,126359,80.11,72494,130573,80.11,72494,130573,110/01,TSE
2025,千興,本月營收增加，係因不�袗�生產原料持續上漲，一月份不�袗�成品售價調升，下游買盤積極採購以補足庫存缺口。,145.08,73423,92.98,93246,179948,92.98,93246,179948,110/01,TSE
2027,大成鋼,-,5.19,5981364,8.65,5791299,6292369,8.65,5791299,6292369,110/01,TSE
2028,威致,去年同期適逢過年營業天數減少，加上本期景氣回溫，故營業額提升,-12.72,953314,62.31,512592,832002,62.31,512592,832002,110/01,TSE
2029,盛餘,-,-6.6,1046703,21.54,804253,977540,21.54,804253,977540,110/01,TSE
2030,彰源,今年元月份較去年同期，工作天數增加33%；鎳價上漲致營收增加28.5%,0.76,1034605,62.62,641034,1042513,62.62,641034,1042513,110/01,TSE
2031,新光鋼,本年度營收較去年同期增加，主要係鋼鐵需求量增加及價格上漲所致。,19.4,1061397,90.13,666556,1267366,90.13,666556,1267366,110/01,TSE
2032,新鋼,主因本公司銷售價格調整及國際鎳價上漲客戶補單需求增加，且109年1月份為農曆春節，工作天數較少，故110年1月份銷售額增加。,2.97,343823,55.22,228084,354041,55.22,228084,354041,110/01,TSE
2033,佳大,-,-6.28,69290,18.47,54810,64935,18.47,54810,64935,110/01,TSE
2034,允強,-,-2.09,1065252,-0.86,1052001,1042931,-0.86,1052001,1042931,110/01,TSE
2038,海光,因客戶訂單增加所致,-2.49,807588,66.48,472956,787410,66.48,472956,787410,110/01,TSE
2069,運錩,"主要係因109年1月份適逢農曆春節假期,而本年度春節為2月份,故收入淨額相對去年度增加",3.42,857145,78.69,496122,886535,78.69,496122,886535,110/01,TSE
2211,長榮鋼,-,-12.08,1047321,-10.77,1031986,920804,-10.77,1031986,920804,110/01,TSE
3004,豐達科,因受新冠肺炎疫情影響,-34.13,159675,-52.96,223618,105170,-52.96,223618,105170,110/01,TSE
5007,三星,-,-9.71,612479,14.95,481014,552972,14.95,481014,552972,110/01,TSE
9958,世紀鋼,本月及本年增加百分比達50%以上，主因風力事業陸續投產，影響收入較同期增加。,-16.55,614391,54.58,331666,512707,54.58,331666,512707,110/01,TSE
2101,南港,"本公告係屬自結數,與會計師所出具之財報因匯率之故將存有略微差異,屆時請以財報為準.",-1.94,760273,-6.95,801264,745513,-6.95,801264,745513,110/01,TSE
2102,泰豐,-,-22.19,335807,-27.13,358597,261286,-27.13,358597,261286,110/01,TSE
2103,台橡,-,21.58,2265565,24.62,2210251,2754553,24.62,2210251,2754553,110/01,TSE
2104,國際中橡,-,7.98,1777900,30.57,1470263,1919865,30.57,1470263,1919865,110/01,TSE
2105,正新,無。,3.21,9193646,36.87,6932650,9489105,36.87,6932650,9489105,110/01,TSE
2106,建大,-,14.57,2579202,26.64,2333395,2955178,26.64,2333395,2955178,110/01,TSE
